Scheme_ID,Scheme_Name,Beneficiary,Description,Min_Age,Max_Age,Income_Limit,State,Gender,Education,Occupation,Category,Disability_Status,Rural_Urban,Employment_Status,Marital_Status,Farmer_Status,Student_Status,BPL_Status,Minority_Status,Benefits,Required_Documents,Official_Website
SCH001,Pradhan Mantri Kisan Samman Nidhi (PM-KISAN),farmers,"Central government scheme providing income support of Rs. 6,000 per year in three equal installments to all landholding farmer families.",18,80,999999999,all,all,all,farmer,all,all,rural,self-employed,all,yes,no,all,all,Financial benefit of Rs. 6000 per annum paid directly to bank accounts.,"Aadhaar Card, Land Ownership Papers, Bank Account Details",https://pmkisan.gov.in
SCH002,PM Krishi Sinchayee Yojana (PMKSY),farmers,Focuses on creating sources of assured irrigation and promoting water conservation practices under More Crop Per Drop.,18,80,999999999,all,all,all,farmer,all,all,rural,self-employed,all,yes,no,all,all,Subsidies for micro-irrigation systems (drip and sprinkler) up to 55%.,"Aadhaar Card, Land Cultivation Proof, Bank Passbook, Address Proof",https://pmksy.gov.in
SCH003,Pradhan Mantri Fasal Bima Yojana (PMFBY),farmers,"Crop insurance scheme offering financial support to farmers suffering crop loss/damage due to natural calamities, pests & diseases.",18,80,999999999,all,all,all,farmer,all,all,all,self-employed,all,yes,no,all,all,"Low premium rate insurance coverage for all food, oilseeds and horticultural crops.","Aadhaar, Land Records, Sowing Certificate, Bank Account Details",https://pmfby.gov.in
SCH004,Kisan Credit Card (KCC) Scheme,farmers,Provides farmers with timely access to credit for their cultivation and other needs including agriculture machinery.,18,75,999999999,all,all,all,farmer,all,all,all,self-employed,all,yes,no,all,all,Short term credit limit up to Rs. 3 Lakh at low interest rates (4%).,"Land Possession Document, Aadhaar Card, PAN Card, Passport Photograph",https://www.sbi.co.in/web/personal-banking/loans/agriculture-loans/kisan-credit-card
SCH005,PM Kisan Maan-Dhan Yojana (PM-KMY),farmers,Old age pension scheme for small and marginal landholding farmers to ensure post-retirement social security.,18,40,999999999,all,all,all,farmer,all,all,rural,self-employed,all,yes,no,all,all,Assured monthly pension of Rs. 3000 upon reaching the age of 60.,"Aadhaar Card, Bank Account details, Land cultivation certificate",https://pmkmy.gov.in
SCH006,Post Matric Scholarship Scheme for SC Students,sc students,Provides financial assistance to students belonging to Scheduled Castes for pursuing post-matriculation or post-secondary courses.,18,30,250000,all,all,10th,student,sc,all,all,student,all,no,yes,all,all,100% tuition fee waiver and monthly maintenance allowance.,"Caste Certificate, Income Certificate, Fee Receipt, Academic Marksheets",https://scholarships.gov.in
SCH007,Post Matric Scholarship Scheme for OBC Students,obc students,Financial support program enabling students of Other Backward Classes to pursue secondary and higher education.,18,30,150000,all,all,10th,student,obc,all,all,student,all,no,yes,all,all,Partial reimbursement of tuition fees and monthly academic maintenance allowance.,"OBC Caste Certificate, Income Certificate, Previous Academic Marksheet, Aadhaar",https://scholarships.gov.in
SCH008,Central Sector Scheme of Scholarship for College and University Students,meritorious students,Provides financial aid to meritorious students from non-wealthy families to meet a part of their day-to-day expenses while pursuing higher studies.,18,25,450000,all,all,12th,student,all,all,all,student,all,no,yes,all,all,Scholarship of Rs. 12000 per annum for graduation and Rs. 20000 for post graduation.,"Class 12 Marksheet, Aadhaar Card, Income Certificate, College Admission Proof",https://scholarships.gov.in
SCH009,Pragati Scholarship Scheme for Girls,female technical students,AICTE scheme providing financial assistance to female students to encourage and support technical education.,18,25,800000,all,female,12th,student,all,all,all,student,all,no,yes,all,all,"Rs. 50,000 per annum as tuition fee reimbursement and incidentals.","College Fee Receipt, Aadhaar, Income Certificate, Caste Certificate (if applicable)",https://www.aicte-india.org
SCH010,Pradhan Mantri Matru Vandana Yojana (PMMVY),pregnant & lactating women,Maternity benefit program providing cash incentives for pregnant and lactating mothers for improved health and nutrition.,19,45,999999999,all,female,all,all,all,all,all,all,married,all,all,all,all,Direct cash transfer of Rs. 5000 in three installments upon complying with vaccine milestones.,"Mother and Child Protection (MCP) card, Aadhaar, Bank Account details",https://wcd.nic.in
SCH011,Mahila Co-operative Loan Scheme,women entrepreneurs,Financial assistance program providing concessional loans to women looking to start cooperative businesses.,18,65,500000,all,female,primary,business owner,all,all,all,self-employed,all,all,no,all,all,Loans up to Rs. 2 Lakhs at extremely low interest rates (3-5%).,"Aadhaar Card, Co-operative registration, Income Certificate, Project Proposal",https://www.nabard.org
SCH012,PMMVY-Urban (Maternity Benefit Scheme for Urban Poor),urban poor pregnant women,Maternity support specifically targeted towards women in urban slum or low-income settings.,19,45,150000,all,female,all,all,all,all,urban,all,married,all,all,yes,all,Maternity cash incentive of Rs. 5000 and nutritional supplements.,"BPL Card, Aadhaar Card, MCP Card, Bank details",https://wcd.nic.in
SCH013,Indira Gandhi National Old Age Pension Scheme (IGNOAPS),bpl senior citizens,Provides monthly pension to senior citizens belonging to households below the poverty line.,60,80,100000,all,all,all,retired,all,all,all,retired,all,no,no,yes,all,Monthly pension of Rs. 200 (age 60-79) and Rs. 500 (age 80+). States often top this up.,"Aadhaar Card, BPL Card, Age Proof (Birth Certificate/Voter ID), Bank Passbook",https://nsap.nic.in
SCH014,Pradhan Mantri Vaya Vandana Yojana (PMVVY),senior citizens,"Pension scheme for senior citizens offering guaranteed rate of return on purchase price, managed by LIC.",60,80,999999999,all,all,all,retired,all,all,all,retired,all,no,no,all,all,Guaranteed return of 7.4% per annum paid monthly as pension for 10 years.,"Aadhaar, Address Proof, PAN Card, Age Proof, Bank Account Copy",https://licindia.in
SCH015,Indira Gandhi National Disability Pension Scheme (IGNDPS),disabled persons,Pensions for persons with severe or multiple disabilities who are living below the poverty line.,18,79,120000,all,all,all,all,all,yes,all,all,all,all,all,yes,all,Monthly financial pension of Rs. 300 per month.,"Disability Certificate (min 80%), BPL Card, Aadhaar Card, Bank details",https://nsap.nic.in
SCH016,Deendayal Disabled Rehabilitation Scheme (DDRS),persons with disabilities,"Financial assistance for rehabilitation services, special schools, and vocational training centers for disabled individuals.",18,60,999999999,all,all,all,all,all,yes,all,all,all,all,all,all,all,"Free education, rehabilitation therapy, vocational training, and helper support.","Disability Certificate, Aadhaar Card, Resident Proof, Family Income Proof",https://disabilityaffairs.gov.in
SCH017,Pradhan Mantri Mudra Yojana (PMMY) - Shishu,micro entrepreneurs,"Provides loans to non-corporate, non-farm small/micro enterprises to encourage self-employment.",18,65,999999999,all,all,all,business owner,all,all,all,self-employed,all,no,no,all,all,"Collateral-free business loans up to Rs. 50,000.","Business Registration Proof, Aadhaar Card, Address Proof, Photos",https://www.mudra.org.in
SCH018,Stand-Up India Scheme,"sc, st or women entrepreneurs",Promotes entrepreneurship among women and SC/ST communities by helping them start greenfield enterprises.,18,70,999999999,all,all,10th,business owner,all,all,all,self-employed,all,no,no,all,all,Bank loans between Rs. 10 Lakh and Rs. 1 Crore for greenfield projects.,"Caste Certificate (for SC/ST), Business Plan, Rent Agreement, ID Proof",https://www.standupmitra.in
SCH019,PM Garib Kalyan Anna Yojana (PMGKAY),bpl and poor families,Food security welfare scheme providing free foodgrains to eligible beneficiaries under National Food Security Act.,18,80,150000,all,all,all,all,all,all,all,all,all,all,all,yes,all,"5kg of foodgrains (wheat or rice) per person per month, free of cost.","Ration Card (NFSA), Aadhaar Card, Income Certificate",https://dfpd.gov.in
SCH020,Pradhan Mantri Awas Yojana - Gramin (PMAY-G),rural poor,"Assists rural BPL families and homeless citizens in constructing permanent, safe houses.",18,80,200000,all,all,all,all,all,all,rural,all,all,all,all,yes,all,Financial assistance of Rs. 1.2 Lakh (plains) / Rs. 1.3 Lakh (hilly areas) for home building.,"Aadhaar Card, BPL Card, Bank Account, Land NOC, Income Certificate",https://pmayg.nic.in
SCH021,Naya Savera - Free Coaching Scheme for Minorities,minority students,Assists students belonging to minority communities to prepare for competitive examinations.,18,28,600000,all,all,12th,student,all,all,all,student,all,no,yes,all,yes,"Free coaching program fees for competitive exams like UPSC, NEET, JEE.","Minority Community Certificate, Income Proof, Admission Card, Class 10/12 marksheets",https://www.minorityaffairs.gov.in
SCH022,Maulana Azad National Fellowship for Minorities,minority scholars,Fellowship scheme providing financial support to minority students pursuing higher education (M.Phil / Ph.D).,21,35,600000,all,all,graduate,student,all,all,all,student,all,no,yes,all,yes,Monthly fellowship stipend of Rs. 31000 - 35000.,"Post-Graduation Marks Certificate, Minority Certificate, Family Income Proof, University Enrollment Proof",https://www.ugc.ac.in
SCH023,Sanjay Gandhi Niradhar Anudan Yojana (Maharashtra),destitute & widowed women in maharashtra,"Maharashtra state scheme providing monthly financial aid to destitute, blind, disabled, and widowed women.",18,65,21000,maharashtra,female,all,all,all,all,all,unemployed,widowed,all,no,yes,all,Financial pension of Rs. 1000 per month.,"Age Proof, Income Proof, Maharashtra Residence Certificate, Widowed Certificate",https://sanjaygandhiniradhar.maharashtra.gov.in
SCH024,Kanya Sumangala Yojana (Uttar Pradesh),girl children in up,Uttar Pradesh scheme aiming to improve the health and educational status of girls through cash benefits.,18,25,300000,uttar pradesh,female,10th,student,all,all,all,student,single,no,yes,all,all,"Monetary support of Rs. 15,000 paid in phases for education.","UP Domicile Proof, Family Income Certificate, Aadhaar Card, Passport Photo",https://mksy.up.gov.in
SCH025,Mo Ghara Yojana (Odisha Housing Scheme),rural poor in odisha,Odisha state government scheme designed to support lower-income and lower-middle-income rural households in rebuilding houses.,18,80,300000,all,all,all,all,all,all,rural,all,all,all,all,yes,all,"Home construction bank loan capital subsidy up to Rs. 60,000.","Income Proof, Aadhaar Card, Land Record Copy, Bank Passbook",https://rhodisha.gov.in/mo-ghara
SCH026,Ayushman Swasthya Suraksha - Yojana 26,eligible healthcare beneficiaries,National health insurance coverage for economically vulnerable populations enabling free hospitalization at registered clinics.,18,80,120000,madhya pradesh,all,all,all,all,all,all,all,all,all,all,yes,all,"Cashless medical insurance coverage of up to Rs. 5,000,000 per family per year.","BPL Card, Aadhaar Card, Ration Card",https://pmjay.gov.in/swasthya26
SCH027,Senior Citizen Financial Security - Pension 27,eligible senior citizens beneficiaries,An annuity and healthcare insurance combination plan for senior citizens designed for a comfortable retired life.,60,80,999999999,all,all,all,retired,all,all,all,retired,all,all,all,all,all,Guaranteed Rs. 2000 monthly pension and secondary medical coverage up to Rs. 1 Lakh.,"Age Certificate, Aadhaar, Bank Details, Income proof",https://nsap.nic.in/pension27
SCH028,National Farmer Scheme - Phase 28,eligible agriculture beneficiaries,Government initiative to support agricultural development by giving modern irrigation kits and equipment to farmers.,18,80,999999999,all,all,all,farmer,all,all,rural,self-employed,all,yes,all,all,all,Free drip irrigation kit and Rs. 5000 subsidy on fertilizers.,"Aadhaar Card, Land Records, Farmer ID Proof",https://agricoop.nic.in/scheme28
SCH029,Ayushman Swasthya Suraksha - Yojana 29,eligible healthcare beneficiaries,National health insurance coverage for economically vulnerable populations enabling free hospitalization at registered clinics.,18,80,120000,kerala,all,all,all,all,all,all,all,all,all,all,yes,all,"Cashless medical insurance coverage of up to Rs. 5,000,000 per family per year.","BPL Card, Aadhaar Card, Ration Card",https://pmjay.gov.in/swasthya29
SCH030,Social Welfare Security Scheme - Support 30,eligible welfare beneficiaries,General state-funded social relief for economically weak sections including widows and distressed families.,18,80,150000,all,male,all,all,all,all,all,all,all,all,all,yes,all,Direct cash allowance of Rs. 1500 per month.,"Aadhaar Card, Income certificate, Bank passbook",https://socialjustice.gov.in/welfare30
SCH031,National Farmer Scheme - Phase 31,eligible agriculture beneficiaries,Government initiative to support agricultural development by giving modern irrigation kits and equipment to farmers.,18,80,999999999,all,male,all,farmer,all,all,rural,self-employed,all,yes,all,all,all,Free drip irrigation kit and Rs. 5000 subsidy on fertilizers.,"Aadhaar Card, Land Records, Farmer ID Proof",https://agricoop.nic.in/scheme31
SCH032,Awas Sahayata Gramin - Allocation 32,eligible housing beneficiaries,Providing masonry training and raw building materials to rural households below the poverty line to build permanent homes.,18,80,999999999,punjab,all,all,all,all,all,rural,all,all,all,all,yes,all,"Financial assistance of Rs. 1,20,000 along with subsidised building supplies.","BPL Certificate, Land ownership map, Aadhaar Card",https://pmayg.nic.in/housing32
SCH033,Awas Sahayata Gramin - Allocation 33,eligible housing beneficiaries,Providing masonry training and raw building materials to rural households below the poverty line to build permanent homes.,18,80,999999999,maharashtra,all,all,all,all,all,rural,all,all,all,all,yes,all,"Financial assistance of Rs. 1,20,000 along with subsidised building supplies.","BPL Certificate, Land ownership map, Aadhaar Card",https://pmayg.nic.in/housing33
SCH034,Mahila Self-Reliance Scheme - Model 34,eligible women empowerment beneficiaries,Encouraging small enterprise setup for women by organizing self-help groups and funding micro-manufacturing setups.,18,80,300000,all,female,all,business owner,all,all,all,self-employed,all,all,all,all,all,"Subsidized startup loan of up to Rs. 1,00,000 without collateral.","Aadhaar Card, Residence proof, Self-Help Group certificate",https://wcd.nic.in/scheme34
SCH035,Senior Citizen Financial Security - Pension 35,eligible senior citizens beneficiaries,An annuity and healthcare insurance combination plan for senior citizens designed for a comfortable retired life.,60,80,999999999,all,all,all,retired,all,all,all,retired,all,all,all,all,all,Guaranteed Rs. 2000 monthly pension and secondary medical coverage up to Rs. 1 Lakh.,"Age Certificate, Aadhaar, Bank Details, Income proof",https://nsap.nic.in/pension35
SCH036,Ayushman Swasthya Suraksha - Yojana 36,eligible healthcare beneficiaries,National health insurance coverage for economically vulnerable populations enabling free hospitalization at registered clinics.,18,80,120000,all,all,all,all,all,all,all,all,all,all,all,yes,all,"Cashless medical insurance coverage of up to Rs. 5,000,000 per family per year.","BPL Card, Aadhaar Card, Ration Card",https://pmjay.gov.in/swasthya36
SCH037,Social Welfare Security Scheme - Support 37,eligible welfare beneficiaries,General state-funded social relief for economically weak sections including widows and distressed families.,18,80,150000,all,all,all,all,all,all,all,all,all,all,all,yes,all,Direct cash allowance of Rs. 1500 per month.,"Aadhaar Card, Income certificate, Bank passbook",https://socialjustice.gov.in/welfare37
SCH038,Senior Citizen Financial Security - Pension 38,eligible senior citizens beneficiaries,An annuity and healthcare insurance combination plan for senior citizens designed for a comfortable retired life.,60,80,999999999,uttar pradesh,all,all,retired,all,all,all,retired,all,all,all,all,all,Guaranteed Rs. 2000 monthly pension and secondary medical coverage up to Rs. 1 Lakh.,"Age Certificate, Aadhaar, Bank Details, Income proof",https://nsap.nic.in/pension38
SCH039,Ayushman Swasthya Suraksha - Yojana 39,eligible healthcare beneficiaries,National health insurance coverage for economically vulnerable populations enabling free hospitalization at registered clinics.,18,80,120000,bihar,all,all,all,all,all,all,all,all,all,all,yes,all,"Cashless medical insurance coverage of up to Rs. 5,000,000 per family per year.","BPL Card, Aadhaar Card, Ration Card",https://pmjay.gov.in/swasthya39
SCH040,Mahila Self-Reliance Scheme - Model 40,eligible women empowerment beneficiaries,Encouraging small enterprise setup for women by organizing self-help groups and funding micro-manufacturing setups.,18,80,300000,rajasthan,female,all,business owner,all,all,all,self-employed,all,all,all,all,all,"Subsidized startup loan of up to Rs. 1,00,000 without collateral.","Aadhaar Card, Residence proof, Self-Help Group certificate",https://wcd.nic.in/scheme40
SCH041,Merit-cum-Means Post Matric Support - Program 41,eligible education beneficiaries,Financial backing for brilliant students to guarantee access to professional training colleges and technical degrees.,18,28,300000,all,all,10th,student,all,all,all,student,all,all,yes,all,all,Full academic tuition coverage and a monthly stipend of Rs. 1500.,"Academic transcript, Income certificate, Fee Structure, Aadhaar",https://scholarships.gov.in/scheme41
SCH042,Skill Upgradation and Vocational Loan - Plan 42,eligible skills development beneficiaries,Short-term industry courses and certification for unemployed youth to improve immediate placement prospects.,18,35,999999999,west bengal,all,all,unemployed,all,all,all,unemployed,all,all,all,all,all,Free skill training course and job placement assistance with stipend.,"Aadhaar Card, School leaving certificate, Unemployed registration card",https://msde.gov.in/skill42
SCH043,National Farmer Scheme - Phase 43,eligible agriculture beneficiaries,Government initiative to support agricultural development by giving modern irrigation kits and equipment to farmers.,18,80,999999999,kerala,all,all,farmer,all,all,rural,self-employed,all,yes,all,all,all,Free drip irrigation kit and Rs. 5000 subsidy on fertilizers.,"Aadhaar Card, Land Records, Farmer ID Proof",https://agricoop.nic.in/scheme43
SCH044,National Farmer Scheme - Phase 44,eligible agriculture beneficiaries,Government initiative to support agricultural development by giving modern irrigation kits and equipment to farmers.,18,80,999999999,all,all,all,farmer,all,all,rural,self-employed,all,yes,all,all,all,Free drip irrigation kit and Rs. 5000 subsidy on fertilizers.,"Aadhaar Card, Land Records, Farmer ID Proof",https://agricoop.nic.in/scheme44
SCH045,Merit-cum-Means Post Matric Support - Program 45,eligible education beneficiaries,Financial backing for brilliant students to guarantee access to professional training colleges and technical degrees.,18,28,300000,all,all,10th,student,all,all,all,student,all,all,yes,all,all,Full academic tuition coverage and a monthly stipend of Rs. 1500.,"Academic transcript, Income certificate, Fee Structure, Aadhaar",https://scholarships.gov.in/scheme45
SCH046,Awas Sahayata Gramin - Allocation 46,eligible housing beneficiaries,Providing masonry training and raw building materials to rural households below the poverty line to build permanent homes.,18,80,999999999,maharashtra,all,all,all,all,all,rural,all,all,all,all,yes,all,"Financial assistance of Rs. 1,20,000 along with subsidised building supplies.","BPL Certificate, Land ownership map, Aadhaar Card",https://pmayg.nic.in/housing46
SCH047,Mahila Self-Reliance Scheme - Model 47,eligible women empowerment beneficiaries,Encouraging small enterprise setup for women by organizing self-help groups and funding micro-manufacturing setups.,18,80,300000,all,female,all,business owner,all,all,all,self-employed,all,all,all,all,all,"Subsidized startup loan of up to Rs. 1,00,000 without collateral.","Aadhaar Card, Residence proof, Self-Help Group certificate",https://wcd.nic.in/scheme47
SCH048,Skill Upgradation and Vocational Loan - Plan 48,eligible skills development beneficiaries,Short-term industry courses and certification for unemployed youth to improve immediate placement prospects.,18,35,999999999,kerala,all,all,unemployed,all,all,all,unemployed,all,all,all,all,all,Free skill training course and job placement assistance with stipend.,"Aadhaar Card, School leaving certificate, Unemployed registration card",https://msde.gov.in/skill48
SCH049,National Farmer Scheme - Phase 49,eligible agriculture beneficiaries,Government initiative to support agricultural development by giving modern irrigation kits and equipment to farmers.,18,80,999999999,uttar pradesh,all,all,farmer,all,all,rural,self-employed,all,yes,all,all,all,Free drip irrigation kit and Rs. 5000 subsidy on fertilizers.,"Aadhaar Card, Land Records, Farmer ID Proof",https://agricoop.nic.in/scheme49
